date,category,channel,price,sales_qty,discount_rate,review_score,return_rate
2026-01-01 00:00:00.000000,메이크업,자사몰,57605,429,5,3.9,6.6
2026-01-01 23:19:31.084337,바디케어,올리브영,48088,81,5,4.0,
2026-01-02 22:39:02.168674,클렌징,온라인몰,65284,151,20,4.3,10.2
2026-01-03 21:58:33.253012,선케어,올리브영,67043,108,30,4.4,19.8
2026-01-04 21:18:04.337349,스킨케어,자사몰,45547,256,10,4.5,5.7
2026-01-05 20:37:35.421686,스킨케어,올리브영,37532,61,5,5.0,14.9
2026-01-06 19:57:06.506024,스킨케어,온라인몰,44349,108,15,4.1,16.3
2026-01-07 19:16:37.590361,바디케어,백화점,55445,421,10,3.8,3.9
2026-01-08 18:36:08.674698,선케어,올리브영,15713,315,0,3.6,5.5
2026-01-09 17:55:39.759036,클렌징,자사몰,66178,347,5,3.9,18.5
2026-01-10 17:15:10.843373,스킨케어,백화점,59407,3500,15,4.2,4.9
2026-01-11 16:34:41.927710,바디케어,온라인몰,60990,123,15,5.0,13.8
2026-01-12 15:54:13.012048,클렌징,자사몰,75545,33,0,4.0,12.4
2026-01-13 15:13:44.096385,스킨케어,올리브영,68141,307,5,4.3,
2026-01-14 14:33:15.180722,스킨케어,온라인몰,33793,198,5,4.2,13.1
2026-01-15 13:52:46.265060,스킨케어,백화점,66570,144,15,4.7,9.9
2026-01-16 13:12:17.349397,메이크업,백화점,47892,441,0,5.0,3.6
2026-01-17 12:31:48.433734,메이크업,백화점,11015,372,0,4.0,3.4
2026-01-18 11:51:19.518072,메이크업,올리브영,71813,42,20,4.0,15.2
2026-01-19 11:10:50.602409,스킨케어,자사몰,37712,82,5,4.7,2.9
2026-01-20 10:30:21.686746,선케어,온라인몰,18415,162,15,4.5,8.8
2026-01-21 09:49:52.771084,스킨케어,온라인몰,72292,172,5,5.0,8.2
2026-01-22 09:09:23.855421,스킨케어,온라인몰,33833,164,0,4.5,14.0
2026-01-23 08:28:54.939759,메이크업,온라인몰,14158,244,5,4.0,10.4
2026-01-24 07:48:26.024096,메이크업,올리브영,72680,469,15,4.5,4.8
2026-01-25 07:07:57.108433,클렌징,올리브영,30309,481,20,4.7,3.8
2026-01-26 06:27:28.192771,스킨케어,온라인몰,16970,328,20,4.6,15.7
2026-01-27 05:46:59.277108,메이크업,백화점,56540,123,10,4.4,18.3
2026-01-28 05:06:30.361445,선케어,백화점,30384,123,15,4.7,8.3
2026-01-29 04:26:01.445783,스킨케어,온라인몰,28017,454,5,4.7,6.3
2026-01-30 03:45:32.530120,선케어,온라인몰,18702,58,5,4.8,2.1
2026-01-31 03:05:03.614457,스킨케어,올리브영,10384,454,20,4.5,14.8
2026-02-01 02:24:34.698795,스킨케어,올리브영,10404,217,0,4.1,17.9
2026-02-02 01:44:05.783132,바디케어,자사몰,50943,153,0,4.3,2.6
2026-02-03 01:03:36.867469,바디케어,올리브영,57926,86,5,4.7,3.2
2026-02-04 00:23:07.951807,클렌징,자사몰,39189,410,0,3.8,2.2
2026-02-04 23:42:39.036144,메이크업,올리브영,22763,198,5,4.4,6.1
2026-02-05 23:02:10.120481,스킨케어,올리브영,28384,475,15,4.0,7.6
2026-02-06 22:21:41.204819,선케어,자사몰,70100,61,10,,6.5
2026-02-07 21:41:12.289156,메이크업,올리브영,19860,467,20,4.8,2.0
2026-02-08 21:00:43.373493,스킨케어,자사몰,60612,34,20,4.3,16.3
2026-02-09 20:20:14.457831,메이크업,자사몰,33574,130,10,4.2,4.0
2026-02-10 19:39:45.542168,스킨케어,온라인몰,33524,176,5,3.6,6.8
2026-02-11 18:59:16.626506,바디케어,올리브영,79172,308,10,4.5,4.4
2026-02-12 18:18:47.710843,스킨케어,자사몰,20916,497,15,4.5,13.4
2026-02-13 17:38:18.795180,선케어,올리브영,14809,250,5,5.0,2.8
2026-02-14 16:57:49.879518,메이크업,온라인몰,42201,430,15,4.1,8.3
2026-02-15 16:17:20.963855,메이크업,자사몰,63330,439,10,4.3,22.8
2026-02-16 15:36:52.048192,메이크업,백화점,23456,176,15,4.3,5.6
2026-02-17 14:56:23.132530,스킨케어,자사몰,66397,57,10,4.9,8.2
2026-02-18 14:15:54.216867,바디케어,자사몰,48765,460,5,4.2,3.4
2026-02-19 13:35:25.301204,클렌징,올리브영,44816,116,30,4.3,6.3
2026-02-20 12:54:56.385542,바디케어,올리브영,55106,430,20,4.5,10.7
2026-02-21 12:14:27.469879,바디케어,백화점,63932,458,0,4.3,2.2
2026-02-22 11:33:58.554216,선케어,백화점,27100,308,20,4.0,5.4
2026-02-23 10:53:29.638554,바디케어,온라인몰,67091,273,10,4.3,8.9
2026-02-24 10:13:00.722891,스킨케어,올리브영,31949,215,20,4.7,1.0
2026-02-25 09:32:31.807228,스킨케어,올리브영,47744,105,20,3.7,9.8
2026-02-26 08:52:02.891566,스킨케어,온라인몰,55543,341,10,4.3,7.5
2026-02-27 08:11:33.975903,메이크업,자사몰,46187,29,0,3.9,4.1
2026-02-28 07:31:05.060240,메이크업,올리브영,17239,24,5,4.7,7.1
2026-03-01 06:50:36.144578,스킨케어,자사몰,24489,142,10,3.5,15.2
2026-03-02 06:10:07.228915,클렌징,자사몰,68017,349,15,3.9,1.9
2026-03-03 05:29:38.313253,메이크업,온라인몰,71877,372,5,4.4,7.9
2026-03-04 04:49:09.397590,스킨케어,온라인몰,53125,137,0,4.9,6.9
2026-03-05 04:08:40.481927,메이크업,백화점,59922,313,20,4.2,3.8
2026-03-06 03:28:11.566265,스킨케어,올리브영,42049,416,30,4.0,5.6
2026-03-07 02:47:42.650602,클렌징,자사몰,47131,178,10,5.0,13.5
2026-03-08 02:07:13.734939,스킨케어,자사몰,52944,322,5,3.5,5.3
2026-03-09 01:26:44.819277,바디케어,자사몰,34285,247,5,3.2,2.5
2026-03-10 00:46:15.903614,클렌징,올리브영,47626,384,0,4.4,3.0
2026-03-11 00:05:46.987951,스킨케어,백화점,52808,235,30,4.0,10.8
2026-03-11 23:25:18.072289,스킨케어,백화점,63871,455,0,3.7,22.4
2026-03-12 22:44:49.156626,클렌징,자사몰,29198,203,15,4.5,10.7
2026-03-13 22:04:20.240963,클렌징,온라인몰,29758,34,5,4.3,9.8
2026-03-14 21:23:51.325301,클렌징,백화점,25254,176,15,3.9,4.6
2026-03-15 20:43:22.409638,클렌징,올리브영,54238,155,15,,2.2
2026-03-16 20:02:53.493975,스킨케어,백화점,11252,280,20,4.6,2.3
2026-03-17 19:22:24.578313,메이크업,올리브영,49764,176,5,4.5,11.6
2026-03-18 18:41:55.662650,스킨케어,자사몰,47441,66,0,4.2,13.6
2026-03-19 18:01:26.746987,바디케어,올리브영,63682,343,0,5.0,5.2
2026-03-20 17:20:57.831325,선케어,온라인몰,69494,351,30,3.7,5.9
2026-03-21 16:40:28.915662,메이크업,자사몰,75215,192,20,3.5,
2026-03-22 16:00:00.000000,스킨케어,자사몰,16949,149,15,3.9,14.2
2026-03-23 15:19:31.084337,메이크업,자사몰,65393,430,15,4.2,5.6
2026-03-24 14:39:02.168674,메이크업,자사몰,16941,114,15,4.3,3.9
2026-03-25 13:58:33.253012,클렌징,온라인몰,35934,134,5,4.1,5.7
2026-03-26 13:18:04.337349,선케어,백화점,33386,262,30,4.4,12.2
2026-03-27 12:37:35.421686,바디케어,올리브영,71886,439,10,3.6,5.3
2026-03-28 11:57:06.506024,메이크업,자사몰,63413,311,10,,7.7
